Timestamp	Are you a Taskman or Taskmain?	What is your current Taskman tier?	Which days does this usually apply to? If your answer is "None of the above", respond to the follow-up questions with "No time".	On an average work day, how much time do you spend ACTIVELY playing the game in such a way that you're giving the game your full attention and NOT, for example, watching a  movie or YouTube on another screen or device? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game in a way that requires enough attention not to be "AFK" but allows for intermittent but regular breaks and distractions from  other screens/devices/activities, or chasing higher-activity bonuses like rockertunities while mining? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game very inactively/"AFK" This is any time where you're barely paying attention and can have the game in the background, on another screen for extended periods without interaction, possibly with something like AFKWarden warning you about lobby timeouts? Choose the closest time that applies.	Which days does this usually apply to?  If your answer is "None of the above", respond to the follow-up questions with "No time".	On an day like this, how much time do you spend ACTIVELY playing the game in such a way that you're giving the game your full attention and NOT, for example, watching a  movie or YouTube on another screen or device? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game in a way that requires enough attention not to be "AFK" but allows for intermittent but regular breaks and distractions from  other screens/devices/activities, or chasing higher-activity bonuses like rockertunities while mining? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game very inactively/"AFK" This is any time where you're barely paying attention and can have the game in the background, on another screen for extended periods without interaction, possibly with something like AFKWarden warning you about lobby timeouts? Choose the closest time that applies.	Which days does this usually apply to? If your answer is "None of the above", respond to the follow-up questions with "No time".	On an average day where you have more or a lot of free time, how much time do you spend ACTIVELY playing the game in such a way that you're giving the game your full attention and NOT, for example, watching a movie or YouTube on another screen or device? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game in a way that requires enough attention not to be "AFK" but allows for intermittent but regular breaks and distractions from other screens/devices/activities, or chasing higher-activity bonuses like rockertunities while mining? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game very inactively/"AFK" This is any time where you're barely paying attention and can have the game in the background, on another screen for extended periods without interaction, possibly with something like AFKWarden warning you about lobby timeouts? Choose the closest time that applies.	When you have very limited time to actively play but have a task that requires a lot of attention, which of the following are you most likely to do?	How much do you agree with the statements: "If I had more time to actively play, I would spend most of the extra time participating in or completing [...]" [Group activities (Future group PvM, minigames, placeholders etc.)]	How much do you agree with the statements: "If I had more time to actively play, I would spend most of the extra time participating in or completing [...]" [My active (usually solo) task]	How much do you agree with the statement: "Task time should be an important factor in determining the tier of a task. Longer tasks should be in higher tiers or split up into more manageable smaller tasks" [Question]
21/04/2022 20:07:11	Taskmain		Monday, Tuesday, Wednesday, Thursday	2 hours	No time	5 hours	Friday, Saturday	No time	No time	No time	Sunday	2 hours	No time	No time	Use all the time on the active task anyway			
21/04/2022 21:38:43	Taskman	Elite	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	4 hours	4 hours	Saturday, Sunday	2 hours	2 hours	3 hours	None of the above	No time	No time	No time	Use all the time on the active task anyway, Play another game or do some other IRL activity until more time is available, Do other in-game activities such as minigames or less active activities available through unlocks	Agree	Neutral	Strongly agree
22/04/2022 10:33:59	Taskmain		None of the above	No time	No time	No time	None of the above	No time	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	4 hours	3 hours	3 hours	Play on an alt where I have more control over the intensity of my activity, until I have enough time for the task	Disagree	Agree	Strongly agree
22/04/2022 10:36:38	Taskman	Elite	None of the above	No time	No time	No time	None of the above	No time	No time	No time	None of the above	No time	No time	No time	Play another game or do some other IRL activity until more time is available	Agree	Strongly agree	Disagree
22/04/2022 12:07:04	Taskman	Hard	Tuesday, Wednesday, Friday, Saturday	1 hour	1 hour	2 hours	Sunday	4 hours	2 hours	1 hour	Monday, Thursday	5 hours	2 hours	2 hours	Play another game or do some other IRL activity until more time is available	Disagree	Agree	Strongly disagree
22/04/2022 12:32:10	Taskman	Elite	Monday, Tuesday, Wednesday, Thursday, Friday	3 hours	1 hour	No time	Saturday, Sunday	3 hours	1 hour	No time	None of the above	No time	No time	No time	Use all the time on the active task anyway	Agree	Strongly agree	Strongly disagree
22/04/2022 16:01:41	Taskman	Easy	Tuesday, Wednesday, Thursday, Friday	1 hour	2 hours	2 hours	None of the above	No time	No time	No time	Monday, Saturday, Sunday	2 hours	3 hours	5 hours	Do other in-game activities such as minigames or less active activities available through unlocks	Neutral	Agree	Disagree
22/04/2022 16:01:41	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	2 hours	2 hours	Saturday, Sunday	2 hours	2 hours	No time	Saturday, Sunday	3 hours	4 hours	3 hours	Do other in-game activities such as minigames or less active activities available through unlocks	Neutral	Agree	Disagree
22/04/2022 16:02:21	Taskman	I'd prefer not to say	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	1 hour	2 hours	Saturday, Sunday	1 hour	1 hour	2 hours	Saturday, Sunday	2 hours	1 hour	No time	Play another game or do some other IRL activity until more time is available	Strongly disagree	Agree	Strongly agree
22/04/2022 16:02:26	Taskmain		Monday, Tuesday, Wednesday, Thursday, Friday	3 hours	No time	1 hour	None of the above	No time	No time	No time	Saturday, Sunday	6 hours	1 hour	2 hours	Use all the time on the active task anyway	Strongly disagree	Strongly agree	Agree
